Champions	Degree	Num.Wins	Num.Losses	Win.Pct
Baylor	0	37	1	0.974
Stanford	1	31	5	0.861
Gonzaga	2	29	5	0.853
Utah	2	20	10	0.667
California	2	20	13	0.606
Oregon	2	33	5	0.868
Notre Dame	2	35	4	0.897
Connecticut	3	35	3	0.921
Michigan St	3	21	12	0.636
Harvard	3	17	13	0.567
Arizona St	3	22	11	0.667
UCLA	3	22	13	0.629
Arizona	3	24	13	0.649
BYU	3	26	7	0.788
North Carolina	3	18	15	0.545
Oregon St	3	26	8	0.765
Miami FL	3	25	9	0.735
USC	3	17	13	0.567
Washington	3	11	21	0.344
Loy Marymount	4	18	15	0.545
Purdue	4	19	15	0.559
Colorado	4	12	18	0.4
Tulane	4	15	15	0.5
Iowa St	4	26	9	0.743
Hartford	4	23	11	0.676
NC State	4	28	6	0.824
Louisville	4	32	4	0.889
Kentucky	4	25	8	0.758
South Florida	4	19	16	0.543
Fordham	4	25	9	0.735
Michigan	4	22	12	0.647
Southern Utah	4	8	23	0.258
Ohio St	4	14	15	0.483
Quinnipiac	4	26	7	0.788
Maine	4	25	8	0.758
Indiana	4	21	13	0.618
Rutgers	4	22	10	0.688
Texas A&M	4	26	8	0.765
Boise St	4	28	5	0.848
Mississippi St	4	33	3	0.917
Auburn	4	22	10	0.688
C Michigan	4	25	8	0.758
Washington St	4	9	21	0.3
Northwestern	4	21	15	0.583
Florida St	4	24	9	0.727
Clemson	4	20	13	0.606
Syracuse	4	25	9	0.735
Yale	4	16	13	0.552
Pepperdine	4	22	12	0.647
Iowa	4	29	7	0.806
Duke	4	15	15	0.5
St Mary's CA	4	21	12	0.636
Columbia	4	8	19	0.296
Wisconsin	4	15	18	0.455
Pittsburgh	4	11	20	0.355
Princeton	4	22	10	0.688
Nebraska	4	14	16	0.467
Virginia Tech	4	22	12	0.647
Penn	4	24	7	0.774
Minnesota	4	21	11	0.656
Maryland	4	29	5	0.853
Georgetown	4	19	16	0.543
Utah St	5	17	16	0.515
Villanova	5	19	13	0.594
Drake	5	27	7	0.794
UCF	5	26	7	0.788
N Illinois	5	19	13	0.594
Bucknell	5	28	6	0.824
Northeastern	5	20	12	0.625
G Washington	5	10	20	0.333
S Dakota St	5	28	7	0.8
Youngstown St	5	22	10	0.688
Seton Hall	5	15	16	0.484
Penn St	5	12	18	0.4
UC Riverside	5	17	16	0.515
South Carolina	5	23	10	0.697
WI Milwaukee	5	15	15	0.5
James Madison	5	29	6	0.829
SF Austin	5	24	7	0.774
Illinois	5	10	20	0.333
UC Davis	5	25	7	0.781
LSU	5	16	13	0.552
New Mexico	5	24	7	0.774
Alabama	5	14	17	0.452
WI Green Bay	5	22	10	0.688
UC Irvine	5	19	11	0.633
Cincinnati	5	24	11	0.686
Houston	5	15	16	0.484
DePaul	5	26	8	0.765
Tennessee	5	19	13	0.594
St John's	5	15	16	0.484
Buffalo	5	24	10	0.706
CS Northridge	5	16	15	0.516
S Illinois	5	15	15	0.5
Texas	5	23	10	0.697
Northern Arizona	5	13	18	0.419
Kansas St	5	21	12	0.636
Missouri	5	24	11	0.686
Colgate	5	12	17	0.414
Arkansas	5	22	15	0.595
South Dakota	5	27	6	0.818
Providence	5	19	16	0.543
St Joseph's PA	5	12	19	0.387
Lamar	5	24	7	0.774
Oral Roberts	5	18	13	0.581
Denver	5	18	14	0.562
Boston College	5	14	16	0.467
VA Commonwealth	5	24	10	0.706
Marquette	5	27	8	0.771
Creighton	5	15	16	0.484
CS Fullerton	5	13	16	0.448
Ohio	5	30	6	0.833
West Virginia	5	22	11	0.667
Idaho St	5	19	11	0.633
Davidson	5	17	15	0.531
Kansas	5	13	18	0.419
Grambling	5	16	16	0.5
La Salle	5	6	25	0.194
Butler	5	23	10	0.697
Virginia	5	12	19	0.387
Old Dominion	5	21	11	0.656
Albany NY	5	13	18	0.419
Montana St	5	16	15	0.516
Chattanooga	5	14	17	0.452
Montana	5	14	16	0.467
Pacific	5	19	13	0.594
Georgia Tech	5	17	13	0.567
Santa Clara	5	14	17	0.452
Mississippi	5	9	22	0.29
Miami OH	5	23	9	0.719
Portland St	5	25	8	0.758
Brown	5	9	21	0.3
Cornell	5	12	14	0.462
CS Sacramento	5	9	19	0.321
Dayton	5	17	14	0.548
Toledo	5	21	12	0.636
Memphis	5	11	20	0.355
N Colorado	5	21	11	0.656
Wyoming	5	25	9	0.735
SMU	5	11	19	0.367
Wichita St	5	12	18	0.4
Binghamton	5	12	18	0.4
Idaho	5	22	12	0.647
East Carolina	5	16	15	0.516
Weber St	5	6	25	0.194
Dartmouth	5	13	14	0.481
Tulsa	5	13	18	0.419
TCU	5	24	11	0.686
E Washington	5	13	20	0.394
Portland	5	13	17	0.433
Morehead St	5	24	11	0.686
Missouri St	5	25	10	0.714
Howard	6	18	13	0.581
Bryant	6	11	19	0.367
American Univ	6	22	11	0.667
IUPUI	6	20	12	0.625
TN Martin	6	23	9	0.719
Temple	6	11	19	0.367
Robert Morris	6	22	11	0.667
Oklahoma St	6	14	16	0.467
Lafayette	6	8	23	0.258
Southern Miss	6	18	14	0.562
Drexel	6	24	9	0.727
Belmont	6	26	7	0.788
Boston Univ	6	15	14	0.517
Arkansas St	6	12	18	0.4
Gardner Webb	6	16	15	0.516
Louisiana Tech	6	14	16	0.467
San Diego St	6	14	18	0.438
UAB	6	26	7	0.788
Appalachian St	6	22	14	0.611
Towson	6	20	13	0.606
George Mason	6	16	14	0.533
Iona	6	5	26	0.161
St Francis NY	6	18	13	0.581
Fresno St	6	19	13	0.594
Hampton	6	16	14	0.533
Kent	6	20	13	0.606
SE Louisiana	6	9	20	0.31
WKU	6	20	15	0.571
UT Arlington	6	24	8	0.75
Northern Iowa	6	20	13	0.606
Lehigh	6	21	10	0.677
UNC Asheville	6	17	15	0.531
Monmouth NJ	6	14	17	0.452
Massachusetts	6	16	16	0.5
MTSU	6	23	11	0.676
Long Beach St	6	9	22	0.29
Rider	6	19	13	0.594
Colorado St	6	8	22	0.267
Stony Brook	6	23	8	0.742
St Louis	6	15	16	0.484
Coastal Car	6	17	15	0.531
UT San Antonio	6	7	21	0.25
Holy Cross	6	18	13	0.581
UC Santa Barbara	6	8	22	0.267
William & Mary	6	15	16	0.484
Air Force	6	8	22	0.267
Ball St	6	8	23	0.258
FL Gulf Coast	6	28	5	0.848
Canisius	6	11	19	0.367
Cal Poly	6	6	21	0.222
Texas Tech	6	14	17	0.452
Siena	6	12	18	0.4
North Texas	6	18	16	0.529
Rhode Island	6	8	21	0.276
Charlotte	6	18	13	0.581
San Diego	6	9	21	0.3
Jacksonville St	6	15	15	0.5
Wake Forest	6	10	20	0.333
Tennessee Tech	6	21	11	0.656
New Orleans	6	12	16	0.429
South Alabama	6	25	11	0.694
Niagara	6	12	19	0.387
San Francisco	6	7	24	0.226
Hawaii	6	15	17	0.469
Duquesne	6	19	13	0.594
Central Conn	6	7	21	0.25
Elon	6	9	21	0.3
Cal Baptist	6	16	12	0.571
Radford	6	26	7	0.788
Marist	6	23	10	0.697
New Mexico St	6	26	7	0.788
NJIT	6	6	24	0.2
Rice	6	28	4	0.875
Florida A&M	6	4	25	0.138
Ark Little Rock	6	21	11	0.656
Utah Valley	6	14	16	0.467
Samford	6	10	20	0.333
Troy	6	22	9	0.71
St Francis PA	6	16	17	0.485
Mercer	6	25	8	0.758
Oklahoma	6	8	22	0.267
Delaware	6	16	15	0.516
W Illinois	6	12	18	0.4
UNC Wilmington	6	17	12	0.586
Navy	6	10	19	0.345
North Dakota	6	12	19	0.387
N Kentucky	6	11	18	0.379
Wright St	6	27	7	0.794
Georgia	6	18	12	0.6
Marshall	6	17	15	0.531
Austin Peay	6	15	15	0.5
Vermont	6	11	18	0.379
Indiana St	6	11	19	0.367
Xavier	6	10	19	0.345
UNLV	6	12	18	0.4
Southern Univ	6	20	13	0.606
Florida	6	8	23	0.258
Illinois St	6	19	12	0.613
Bradley	6	20	10	0.667
Richmond	6	9	21	0.3
Vanderbilt	6	7	23	0.233
Akron	6	16	15	0.516
PFW	6	7	22	0.241
Jackson St	6	18	14	0.562
Hofstra	6	11	21	0.344
San Jose St	6	6	24	0.2
MS Valley St	6	6	24	0.2
New Hampshire	6	6	24	0.2
ETSU	6	10	21	0.323
Bowling Green	6	9	21	0.3
Furman	6	19	14	0.576
Wofford	6	16	15	0.516
TAM C. Christi	6	17	16	0.515
UMBC	6	10	20	0.333
UNC Greensboro	6	11	19	0.367
Abilene Chr	6	23	10	0.697
St Peter's	7	6	24	0.2
St Bonaventure	7	8	22	0.267
North Alabama	7	20	9	0.69
CS Bakersfield	7	13	17	0.433
S Francisco St	7	11	18	0.379
Georgia St	7	17	14	0.548
W Michigan	7	10	20	0.333
Fairfield	7	11	20	0.355
SIUE	7	13	16	0.448
N Dakota St	7	7	22	0.241
Sacred Heart	7	19	13	0.594
Kennesaw	7	9	22	0.29
E Illinois	7	11	18	0.379
Presbyterian	7	7	24	0.226
North Florida	7	15	14	0.517
UTRGV	7	18	15	0.545
E Michigan	7	14	17	0.452
Valparaiso	7	8	24	0.25
Liberty	7	16	16	0.5
Nevada	7	12	19	0.387
FL Atlantic	7	5	25	0.167
Norfolk St	7	17	15	0.531
Cleveland St	7	10	20	0.333
Louisiana	7	7	23	0.233
F Dickinson	7	8	22	0.267
SE Missouri St	7	13	17	0.433
Texas St	7	14	17	0.452
Florida Intl	7	5	24	0.172
Mt St Mary's	7	15	16	0.484
Sam Houston St	7	15	13	0.536
Oakland	7	5	24	0.172
ULM	7	10	19	0.345
NE Omaha	7	8	21	0.276
Campbell	7	23	13	0.639
Army	7	11	19	0.367
Loyola-Chicago	7	13	18	0.419
Dillard	7	20	12	0.625
Xavier LA	7	23	9	0.719
Prairie View	7	16	14	0.533
High Point	7	22	9	0.71
Nicholls St	7	19	12	0.613
Manhattan	7	12	19	0.387
S Carolina St	7	16	16	0.5
Winthrop	7	10	20	0.333
NC Central	7	9	22	0.29
Alabama A&M	7	13	17	0.433
Evansville	7	4	26	0.133
Stetson	7	16	16	0.5
UTEP	7	9	22	0.29
MA Lowell	7	7	22	0.241
Missouri KC	7	16	15	0.516
Loyola MD	7	7	24	0.226
LIU Brooklyn	7	4	25	0.138
MD E Shore	7	16	14	0.533
Jacksonville	7	14	16	0.467
Houston Bap	7	9	19	0.321
North Greenville	7	9	23	0.281
Wagner	7	10	20	0.333
Alabama St	7	11	19	0.367
Grand Canyon	7	7	20	0.259
Savannah St	7	7	19	0.269
Col Charleston	7	7	23	0.233
McNeese St	7	7	22	0.241
Alcorn St	7	4	26	0.133
TX Southern	7	15	15	0.5
Cent Arkansas	7	12	18	0.4
Northwestern LA	7	11	18	0.379
Incarnate Word	7	5	24	0.172
Coppin St	7	5	25	0.167
Morgan St	7	9	21	0.3
Murray St	7	13	17	0.433
Longwood	7	3	27	0.1
NC A&T	7	20	12	0.625
Charleston So	7	14	18	0.438
Bethune-Cookman	7	21	11	0.656
Lane	8	14	19	0.424
Lincoln PA	8	19	14	0.576
IL Chicago	8	3	26	0.103
Palm Beach Atl	8	7	20	0.259
Our Lady Lake	8	27	8	0.771
AK Fairbanks	8	4	23	0.148
Newberry	8	17	12	0.586
AK Anchorage	8	30	3	0.909
LSU-Alexandria	8	22	10	0.688
Lander	8	24	9	0.727
Lipscomb	8	4	25	0.138
Fresno Pacific	8	19	12	0.613
Ga Southern	8	7	22	0.241
SC Aiken	8	16	13	0.552
Queens NC	8	9	17	0.346
Dominican CA	8	21	8	0.724
FL Memorial	8	16	14	0.533
OK City	8	33	5	0.868
Detroit	8	3	25	0.107
SC Upstate	8	7	23	0.233
CS Poly Pomona	8	25	6	0.806
Barton	8	24	6	0.8
CS Chico	8	12	13	0.48
UC San Diego	8	30	1	0.968
Belmont Abbey	8	21	11	0.656
Loyola NO	8	26	8	0.765
JC Smith	8	16	13	0.552
Lees-McRae	8	14	16	0.467
Rust	8	14	11	0.56
Tusculum	8	20	9	0.69
W Carolina	8	4	26	0.133
Wm Carey	8	10	17	0.37
LeMoyne-Owen	8	12	15	0.444
Mt Olive	8	17	11	0.607
Delaware St	8	7	21	0.25
Erskine	8	7	22	0.241
Chicago St	8	2	27	0.069
CS Stanislaus	8	9	19	0.321
Ark Pine Bluff	8	5	19	0.208
Emmanuel GA	8	23	7	0.767
CS San Bern.	8	10	17	0.37
Tennessee St	8	5	25	0.167
Limestone	8	13	15	0.464
King TN	8	14	14	0.5
Cal St-LA	8	9	18	0.333
CS Dom. Hills	8	14	15	0.483
Philander Smith	8	14	13	0.519
Talladega	8	22	7	0.759
Converse	8	10	18	0.357
Sonoma St	8	11	16	0.407
Lincoln Mem	8	16	14	0.533
CS Monterey Bay	8	1	25	0.038
CS San Marcos	8	18	10	0.643
Southern N.O.	8	5	24	0.172
Humboldt St	8	19	8	0.704
Seattle	8	3	27	0.1
Freed-Hardeman	8	33	3	0.917
Mid Am Nazarene	8	25	6	0.806
Paul Quinn	9	20	11	0.645
Texas Col	9	6	18	0.25
Langston	9	11	19	0.367
Wiley	9	7	20	0.259
Carson-Newman	9	22	8	0.733
NW Nazarene	9	29	3	0.906
Flagler	9	21	9	0.7
Georgia SW	9	8	20	0.286
Campbellsville	9	33	3	0.917
Edward Waters	9	16	17	0.485
Azusa Pacific	9	28	6	0.824
C Washington	9	18	11	0.621
Tampa	9	21	9	0.7
North Georgia	9	30	5	0.857
Bloomsburg	9	20	10	0.667
W Washington	9	17	13	0.567
Simon Fraser	9	17	11	0.607
Slippery Rock	9	12	16	0.429
Florida Tech	9	8	20	0.286
Gannon	9	14	17	0.452
Coker	9	5	23	0.179
Mississippi Col	9	8	18	0.308
S Indiana	9	20	9	0.69
Chowan	9	13	16	0.448
Chr Brothers	9	10	17	0.37
Spring Hill	9	12	18	0.4
Wayland	9	29	6	0.829
Concordia OR	9	16	13	0.552
Huston-Tillot	9	15	12	0.556
Benedict	9	20	7	0.741
Wingate	9	23	9	0.719
Virginia Union	9	28	3	0.903
Delta St	9	18	10	0.643
CSU East Bay	9	14	16	0.467
Eliz. City St	9	14	16	0.467
Union TN	9	27	5	0.844
T Jefferson	9	29	3	0.906
Catawba	9	13	15	0.464
Notre Dame CA	9	9	18	0.333
West Chester	9	16	14	0.533
Anderson SC	9	30	3	0.909
KY Wesleyan	9	24	8	0.75
Livingstone	9	10	20	0.333
Marian IN	9	28	7	0.8
Piedmont Bap	9	4	4	0.5
Columbia MO	9	28	6	0.824
Goldey Beacom	9	14	16	0.467
Lynn	9	17	11	0.607
Lenoir Rhyne	9	17	13	0.567
Brewton-Parker	9	17	13	0.567
Hawaii Pacific	9	23	10	0.697
St Leo	9	9	18	0.333
Bloomfield	9	6	22	0.214
Lubbock Chr	9	32	5	0.865
Albany GA	9	10	19	0.345
Georgia C&S	9	10	19	0.345
Columbus St	9	16	13	0.552
Lyon	9	25	8	0.758
Rollins	9	11	16	0.407
W Salem St	9	15	14	0.517
Pikeville	9	19	12	0.613
S Wesleyan	9	9	19	0.321
Glenville St	9	30	3	0.909
Arkansas Tech	9	15	16	0.484
Faulkner	9	13	17	0.433
Truman St	9	23	8	0.742
W Texas A&M	9	30	4	0.882
Claflin	9	15	14	0.517
MT Western	9	29	5	0.853
Carroll MT	9	26	9	0.743
SW Assemb God	9	19	12	0.613
Menlo	9	18	10	0.643
Clayton St	9	21	10	0.677
Fort Valley St	9	6	20	0.231
Bowie St	9	22	6	0.786
Eckerd	9	22	10	0.688
Clarke	9	23	13	0.639
Univ of Southwest	9	8	23	0.258
Stillman	9	14	15	0.483
FL Southern	9	29	4	0.879
Francis Marion	9	12	15	0.444
Fayetteville St	9	21	9	0.7
Ave Maria	9	19	9	0.679
Bethel TN	9	26	6	0.812
MT St-Billings	9	13	14	0.481
Southeastern FL	9	30	3	0.909
Embry-Riddle FL	9	16	11	0.593
Barry	9	10	19	0.345
W Oregon	9	8	18	0.308
St Thomas FL	9	21	9	0.7
Tuskegee	9	20	7	0.741
Benedictine KS	9	18	13	0.581
NC Pembroke	9	8	21	0.276
Nova SE	9	21	12	0.636
Seattle Pacific	9	8	19	0.296
Coastal GA	9	21	12	0.636
Point Loma	9	19	11	0.633
St Martin's	9	7	21	0.25
Thomas GA	9	8	21	0.276
Tougaloo	9	4	15	0.211
Central St OH	9	12	18	0.4
Keiser	9	13	16	0.448
Mobile	9	13	19	0.406
Holy Names	9	3	26	0.103
J&W FL	9	9	19	0.321
Miles	9	17	10	0.63
William Penn	9	29	3	0.906
LSU Shreveport	9	15	12	0.556
Martin Meth	9	18	11	0.621
Culver-Stockton	9	20	15	0.571
Florida Col	9	7	20	0.259
Lewis-Clark ID	9	19	12	0.613
The Master's	9	26	7	0.788
N New Mexico	10	1	17	0.056
Panhandle St	10	14	17	0.452
Life	10	16	11	0.593
TN Wesleyan	10	21	11	0.656
Bryan	10	30	2	0.938
Virgin Islands	10	4	20	0.167
Columbia SC	10	8	21	0.276
St Ambrose	10	18	10	0.643
Mid Georgia	10	9	19	0.321
Point Park	10	13	16	0.448
Providence GF	10	17	16	0.515
Drury	10	35	1	0.972
Montevallo	10	12	17	0.414
Northwood MI	10	13	16	0.448
